id,name,level,propType,spirit,speed,range,vitalSensibility,skills,bodyPart,reward,canCapture,group,openMap,goodPoints
604,狗头人头领,20,6,100,12,2,70,8|16|19,身体|头部|腿部,2300|0.23;2301|0.23,0,1,0,1
605,骷髅矿工,14,11,100,7,2,100,31,身体||腿部,2100|5,0,1,0,1
700,海盗战士,13,1,100,7,1,70,6|16|19,身体|头部|腿部,500|0.3;604|0.14;701|0.2,0,2,0,1
701,水手,14,8,100,7,2,75,6,身体|头部|腿部,500|0.3;604|0.14;701|0.2,0,2,0,1
702,章鱼怪,18,7,100,9,5,85,34,身体|头部|腿部,304|0.1;4102|3;2105|2,0,1,0,3
703,红胡子船长,30,8,100,8,2,80,6|33,身体|头部|腿部,204|0.14;4208|0.24;500|0.34;604|0.16;701|0.23,0,1,0,5
800,狼人队长,20,10,100,8,2,80,6|16|19,身体|头部|腿部,503|0.18;603|0.15,0,1,0,0
810,蛇人探子,10,2,100,8,2,80,28|16|19,身体|头部|腿部,504|0.16;604|0.13,0,2,0,0
811,熊人探子,10,3,100,10,2,80,28|16|19,身体|头部|腿部,504|0.16;604|0.13,0,2,0,0
812,蛇人头目,20,8,100,10,2,90,28|16|19,身体|头部|腿部,504|0.18;604|0.15,0,1,0,0
813,熊人头目,20,10,100,12,2,90,28|16|19,身体|头部|腿部,504|0.18;604|0.15,0,1,0,0
900,蛇人队长,20,4,100,8,2,80,6|16|19,身体|头部|腿部,503|0.18;603|0.15,0,1,0,0
910,熊人探子,10,3,100,10,2,80,28|16|19,身体|头部|腿部,504|0.16;604|0.13,0,2,0,0
911,狼人探子,10,1,100,8,2,80,28|16|19,身体|头部|腿部,504|0.16;604|0.13,0,2,0,0
912,熊人头目,20,10,100,12,2,90,28|16|19,身体|头部|腿部,504|0.18;604|0.15,0,1,0,0
913,狼人头目,20,4,100,10,2,90,28|16|19,身体|头部|腿部,504|0.18;604|0.15,0,1,0,0
1000,熊人队长,20,8,100,10,2,80,6|16|19,身体|头部|腿部,503|0.18;603|0.15,0,1,0,0
1010,蛇人探子,10,2,100,8,2,80,28|16|19,身体|头部|腿部,504|0.16;604|0.13,0,2,0,0
1011,狼人探子,10,1,100,8,2,80,28|16|19,身体|头部|腿部,504|0.16;604|0.13,0,2,0,0
1012,蛇人头目,20,8,100,10,2,90,28|16|19,身体|头部|腿部,504|0.18;604|0.15,0,1,0,0
1013,狼人头目,20,4,100,10,2,90,28|16|19,身体|头部|腿部,504|0.18;604|0.15,0,1,0,0
1300,暗精灵,24,8,100,15,19,90,22|16|19,身体|头部|腿部,2302|2,0,1,0,1
1301,毒蜘蛛,23,4,100,7,1,75,1|27,身体|头部|腿部,2106|3;2109|2,5,2,0,0
1302,森林巨蟒,20,3,100,8,1,80,1|34,身体|头部|尾部,4102|3;2105|2,6,1,0,0
1303,蛛后,32,12,100,9,2,85,1,身体|头部|腿部,2106|3;2109|2,7,1,0,5
1304,独角兽,25,1,100,13,2,80,2|20,身体|头部|腿部,4102|3,8,1,0,0
1305,花精灵,40,1,100,17,20,75,22|20,身体|头部|翅膀,4110|10,7,1,0,0
1500,熊战士,24,13,100,8,3,70,24,身体|头部|腿部,505|0.15;605|0.12,0,1,0,0
1501,巨魔,27,5,100,7,3,80,6,身体|头部|腿部,107|0.19;202|0.18,0,1,0,1
1502,巨型蜈蚣,23,8,100,11,2,85,1,身体|头部|腿部,4102|5;2109|3,6,1,0,1
1503,熔岩怪,30,11,100,6,2,60,24|2,身体|头部|腿部,1101|5;2402|0.18;2401|0.18;2400|0.18,0,1,0,1
1600,亡灵战士,28,1,100,7,2,100,6|16|19,身体||腿部,2100|5;103|0.25,0,2,0,0
1601,亡灵弓手,28,2,100,6,10,100,22,身体||腿部,2100|5;201|0.27,0,2,0,0
1602,沼泽触手怪,30,6,100,2,8,100,34,腿部||,2105|2,0,1,0,0
1603,巨鳄,35,15,100,9,2,85,1|24,身体|头部|尾部,4102|3;2105|2,6,1,0,0
1700,石像鬼,30,7,100,8,2,70,1,身体|头部|翅膀,1101|5;2300|0.25;2301|0.25,0,1,0,1
1701,梦靥,45,2,100,10,14,100,15,身体||,2202|3,0,1,0,5
1702,巢穴蝙蝠,35,6,100,12,1,80,1,身体|头部|翅膀,4102|2;2101|5,0,3,0,0
1703,乌鸦,2,4,100,7,1,80,17,身体|头部|翅膀,4102|2,0,1,0,0
1704,老鼠,2,2,100,10,2,70,1,身体|头部|腿部,4102|2,0,1,0,0
1800,龙裔,40,9,100,12,7,80,1|25,身体|头部|翅膀,4102|2;2404|2;2109|3,6,1,0,0
1801,蓝龙,80,7,100,17,17,85,1|2|14|26,身体|头部|翅膀,4102|2;2404|5;2407|5,16,1,0,20
1802,红龙,80,13,100,19,19,80,1|2|14|12,身体|头部|翅膀,4102|2;2404|5;2407|5,16,1,0,20
1803,冰霜巨龙,80,15,100,18,18,80,1|2|14|13,身体|头部|腿部,4102|2;2404|5;2407|5,16,1,0,20
1804,狮鹫,55,13,100,13,6,85,1|21|16,身体|头部|翅膀,4102|2;2101|5,12,1,0,0
1900,荒原狼,30,7,100,12,1,80,1,身体|头部|腿部,4102|2;2102|2,4,2,0,0
1901,巨人,60,11,100,10,3,60,8|16|19,身体|头部|腿部,1100|5,10,1,0,5
1902,雷鹰,60,9,100,17,2,90,17|24,身体|头部|翅膀,4102|2;2101|5,12,1,0,0
1903,荒原狼蛛,35,8,100,9,1,80,1|27,身体|头部|腿部,2106|3;2109|2,5,1,0,0
1904,野人,30,8,100,8,2,80,6|16|19,身体|头部|腿部,103|0.25;504|0.19;604|0.16,0,2,0,1
1905,野人头领,40,9,100,9,2,80,6|16|19,身体|头部|腿部,105|0.24;503|0.2;603|0.16,0,1,0,5
1906,雪人怪,30,5,100,6,2,60,24|19,身体|头部|腿部,4109|10,0,1,0,0
1907,雪狼,40,4,100,12,2,75,1,身体|头部|腿部,4102|2;2102|2,4,2,0,0
1908,熊王 奇拉比,45,15,100,9,4,70,24|11,身体|头部|腿部,505|0.17;605|0.13,0,1,0,10
1909,石傀儡,40,13,100,6,2,60,24|2|16|19,身体||腿部,1101|5;2300|0.26;2301|0.26,0,1,0,0
1910,狮鹫,55,13,100,13,6,85,1|21|16,身体|头部|翅膀,4102|2;2101|5,12,1,0,0
1911,泰坦,75,3,100,10,4,70,29|11,身体|头部|腿部,117|0.09;509|0.1;609|0.09,14,1,0,10
1912,熊战士,35,13,100,8,3,70,24,身体|头部|腿部,505|0.16;605|0.13,0,1,0,0
2000,食人魔,47,4,100,7,3,65,24|16|19,身体|头部|腿部,108|0.16,0,2,0,2
2001,食人魔头领,55,5,100,7,3,65,24|16|19,身体|头部|腿部,108|0.17,0,1,0,8
2002,独眼巨人,70,11,100,10,3,60,8|16|19,身体|眼睛|腿部,108|0.18,10,1,0,4
2003,黑暗施法者,80,12,100,5,15,60,12,身体|头部|腿部,2100|5;2406|0.1,0,1,0,3
2004,被诅咒的骷髅,50,13,100,8,2,100,6|16,身体||腿部,2100|5,0,1,0,3
2100,地牢蝙蝠,35,14,100,11,1,90,17,身体|头部|翅膀,4102|2,0,1,0,0
2101,噬魂兽,45,13,100,13,1,90,1|26,背部|眼睛|腿部,2202|0.36,0,1,0,0
2102,毒蜘蛛,35,4,100,7,1,75,1|27,身体|头部|腿部,2106|3;2109|2,5,1,0,0
2103,黑寡妇,50,2,100,8,1,85,1,身体|头部|腿部,2106|3;2109|2,7,1,0,0
2104,石傀儡,50,13,100,6,2,60,24|2|16|19,身体||腿部,1101|5;2300|0.27;2301|0.27,0,1,0,0
2105,魔眼,60,7,100,5,8,100,22|30,身体||,304|0.09,0,1,0,0
2106,地虫,40,11,100,3,2,30,2,身体|头部|,4102|2,5,1,0,0
2107,食人鼠王,55,9,100,12,2,75,24|1|16,身体|头部|腿部,107|0.21,0,1,0,0
2108,恶魔守卫,40,14,100,9,2,80,31|10,身体|头部|腿部,510|0.08;611|0.07,0,1,0,0
2109,冥鸦,50,12,100,13,9,85,1|26,身体|头部|翅膀,4102|2;2101|5;2202|0.37,0,1,0,0
2110,魅惑女王,65,13,100,9,15,70,34|5,身体|头部|腿部,,0,1,0,0
2111,堕落骑士,55,3,100,15,3,80,6,身体|头部|,114|0.12,0,1,0,0
2112,混沌,70,1,100,15,5,100,31|4,身体||,2409|0.1,0,1,0,0
2113,噩梦,70,9,100,20,10,100,31,身体||,510|0.09;611|0.08,0,1,0,0
2114,深渊守卫,50,12,100,8,2,80,31|6|16,身体|头部|腿部,2405|2;2302|5,0,1,0,0
2115,深渊莫人,60,2,100,8,5,80,31|28|16,身体|头部|腿部,2405|2;2302|5,0,1,0,0
2116,深渊领主,70,3,100,8,9,80,31|11,身体|头部|腿部,120|0.08;2405|0.21,0,1,0,0
2117,蛇人,30,1,100,8,3,80,1|34,身体|头部|尾部,4102|3;2105|2,0,1,0,0
2118,巢穴蝙蝠,20,6,100,12,1,80,1,身体|头部|翅膀,4102|2;2101|5,0,1,0,0
2119,狗头人,30,7,100,10,2,70,8|16|19,身体|头部|腿部,2200|5;2201|0.34;2300|0.25;2301|0.25,0,2,0,0
2120,邪恶巫师,60,9,100,5,13,65,12,身体|头部|腿部,2408|0.13;2109|10,0,1,0,0
2200,海龟,5,3,100,4,1,85,1,背部|头部|腿部,4102|2;2108|0.35,2,1,0,0
2201,水母,10,14,100,4,3,20,34,|身体|腿部,2105|2,0,1,0,0
2202,螃蟹,15,11,100,10,1,95,7,背部|眼睛|腿部,4102|2,0,3,0,0
2203,食人鱼,15,2,100,9,1,80,1,背部|眼睛|腿部,4102|2,0,1,0,0
2300,海龟,5,3,100,4,1,85,1,背部|头部|腿部,4102|2;2108|0.35,2,1,0,0
2301,水母,10,14,100,4,3,20,34,|身体|腿部,2105|2,0,1,0,0
2302,海蛇,30,14,100,6,1,90,1|34,身体|头部|尾部,4102|2;2109|2,3,1,0,0
2303,章鱼王,60,6,100,10,7,85,34,身体|头部|腿部,3109|1;2105|10;4102|10,0,1,0,0
2400,鱼人,20,6,100,6,2,75,1|34,身体|头部|鱼鳍,2105|2;105|0.22,0,1,0,0
2401,美人鱼,30,12,100,7,2,70,28,身体|头部|尾部,2105|2,6,1,0,0
2402,鲨鱼,40,8,100,12,2,80,1|2,身体|头部|鱼鳍,4102|5;2303|2,0,1,0,0
2403,半人马,90,1,100,11,16,80,22,身体|头部|腿部,4102|5;202|0.23,0,1,0,0
2404,美杜莎,80,9,100,10,10,80,22|30|18,身体|头部|尾部,204|0.17;608|0.11;508|0.14,0,1,0,0
2405,老鼠,2,2,100,10,2,70,1,身体|头部|腿部,4102|2,0,1,0,0
10000,调皮的猴子,4,1,100,3,2,70,16|19,身体|头部|腿部,500|0.26;600|0.19,0,1,4,0
10001,镇长,25,3,100,7,2,70,6|16|19,身体|头部|腿部,500|0.33;600|0.24,0,1,5,0
10002,酒保,7,2,100,9,2,70,28|16,身体|头部|腿部,500|0.28;600|0.2,0,1,0,0
10004,守卫,10,3,100,7,2,70,6|16|19,身体|头部|腿部,106|0.18;503|0.16;603|0.13,0,1,0,0
10005,守卫队长,15,10,100,8,2,70,6|16|19,身体|头部|腿部,106|0.19;503|0.17;603|0.14,0,1,0,0
10006,狼人族长,25,2,100,9,2,70,6|16|19,身体|头部|腿部,106|1,0,1,9,0
10007,狼人长老,20,1,100,8,2,70,6|16|19,身体|头部|腿部,106|1,0,1,10,0
10009,狼人卫兵,10,3,100,7,2,75,6|16|19,身体|头部|腿部,503|0.16;603|0.13,0,1,0,0
10010,狼人队长,15,10,100,8,2,80,6|16|19,身体|头部|腿部,503|0.17;603|0.14,0,1,0,0
10011,蛇人族长,25,2,100,9,2,70,6|16|19,身体|头部|腿部,106|1,0,1,10,0
10012,蛇人长老,20,1,100,8,2,70,6|16|19,身体|头部|腿部,106|1,0,1,8,0
10014,蛇人卫兵,10,1,100,7,2,75,6|16|19,身体|头部|腿部,503|0.16;603|0.13,0,1,0,0
10015,蛇人队长,15,4,100,8,2,80,6|16|19,身体|头部|腿部,503|0.17;603|0.14,0,1,0,0
10016,熊人族长,25,2,100,9,2,70,6|16|19,身体|头部|腿部,106|1,0,1,8,0
10017,熊人长老,20,1,100,8,2,70,6|16|19,身体|头部|腿部,106|1,0,1,9,0
10019,熊人卫兵,10,2,100,8,2,75,6|16|19,身体|头部|腿部,503|0.16;603|0.13,0,1,0,0
10020,熊人队长,15,8,100,10,2,80,6|16|19,身体|头部|腿部,503|0.17;603|0.14,0,1,0,0
10021,矮人金霹,55,14,100,10,2,70,28|16,身体|头部|腿部,118|0.08;2402|10;2401|10;2400|10,0,1,15,0
10022,守卫,48,3,100,7,2,70,6|16|19,身体|头部|腿部,106|0.24;503|0.21;603|0.17,0,1,0,0
10023,守卫队长,15,10,100,8,2,70,6|16|19,身体|头部|腿部,106|0.24;503|0.21;603|0.17,0,1,0,0
1,白幽灵,10,2,100,10,1,100,26,身体||,2202|1,0,1,0,0
2,绿幽灵,15,2,100,12,1,100,26,身体||,2202|2,0,1,0,0
3,_幽灵,25,2,100,15,1,100,26,身体||,2202|5,0,1,0,0
10,老鼠,5,2,100,10,2,70,1,身体|头部|腿部,4102|2,0,1,0,0
11,乌鸦,5,4,100,7,1,80,17,身体|头部|翅膀,4102|2,0,1,0,0
12,盗贼,10,12,100,9,2,70,28|16|19,身体|头部|腿部,501|0.21;601|0.16,0,1,0,0
13,飞贼,10,5,100,8,2,60,6|16|19,身体|头部|腿部,103|0.19;500|0.26;600|0.19,0,1,0,0
14,野人,10,8,100,8,2,80,6|16|19,身体|头部|腿部,103|0.25;504|0.19;604|0.16,0,1,0,0
20,神偷罗宾汉,20,8,100,8,2,80,6|16|19,身体|头部|腿部,103|0.25;504|0.19;604|0.16,0,1,0,0
21,黑胡子爱德华,25,8,100,8,2,80,6|16|19,身体|头部|腿部,103|0.25;504|0.19;604|0.16,0,1,0,0
22,侠盗詹姆斯,30,8,100,8,2,80,6|16|19,身体|头部|腿部,103|0.25;504|0.19;604|0.16,0,1,0,0
23,娃娃脸尼尔森,35,8,100,8,2,80,6|16|19,身体|头部|腿部,103|0.25;504|0.19;604|0.16,0,1,0,0
24,赦免者维庸,40,8,100,8,2,80,6|16|19,身体|头部|腿部,103|0.25;504|0.19;604|0.16,0,1,0,0
25,绅士迪克特平,45,8,100,8,2,80,6|16|19,身体|头部|腿部,103|0.25;504|0.19;604|0.16,0,1,0,0
10024,绿叶族长,45,12,100,10,10,80,22|25,身体|头部|腿部,,0,1,18,0
10025,树人先知,40,12,100,10,10,70,8|27,身体|头部|腿部,,0,1,17,0
