id,name,level,propType,spirit,speed,range,vitalSensibility,skills,bodyPart,reward,canCapture,group
1301,Poison Spider,23,4,100,7,1,75,1|27,body|head|leg,2106|3;2109|2,5,2
1302,Python,20,3,100,8,1,80,1|34,body|head|tail,4102|3;2105|2,6,1
1303,Queen Spider,32,12,100,9,2,85,1,body|head|leg,2106|3;2109|2,7,1
1304,Unicorn,25,1,100,13,2,80,2|20,body|head|leg,810|0.09;4102|3,8,1
1305,Flower Fairy,40,1,100,17,20,75,22|20,body|head|wing,4110|10;805|0.1,7,1
1500,Ursa Warrior,24,13,100,8,3,70,24,body|head|leg,505|0.15;605|0.12,0,1
1501,Troll,27,5,100,7,3,80,6,body|head|leg,107|0.19;202|0.18,0,1
1502,Huge Centipede,23,8,100,11,2,85,1,body|head|leg,4102|5;2109|3,6,1
1503,Lava Monster,30,11,100,6,2,60,24|2,body|head|leg,1101|5;2402|0.18;2401|0.18;2400|0.18,0,1
1600,Undead Warrior,28,1,100,7,2,100,6|16|19,body||leg,2100|5;103|0.25,0,2
1601,Undead Archer,28,2,100,6,10,100,22,body||leg,2100|5;201|0.27,0,2
1602,Tentacle,30,6,100,2,8,100,34,leg||,2105|2,0,1
1603,Alligator,35,15,100,9,2,85,1|24,body|head|tail,4102|3;2105|2,6,1
1700,Gargoyle,30,7,100,8,2,70,1,body|head|wing,1101|5;2300|0.25;2301|0.25,0,1
1701,Nightmare,45,2,100,10,14,100,15,body||,2202|3,0,1
1702,Cave Bat,35,6,100,12,1,80,1,body|head|wing,4102|2;2101|5,0,3
1703,Crow,2,4,100,7,1,80,17,body|head|wing,4102|2,0,1
1704,Mouse,2,2,100,10,2,70,1,body|head|leg,4102|2,0,1
1800,Viper,40,9,100,12,7,80,1|25,body|head|wing,4102|2;2404|2;2109|3,6,1
1801,Blue Dragon,80,7,100,17,17,85,1|2|14|26,body|head|wing,4102|2;2404|5;2407|5;803|0.12,16,1
1802,Red Dragon,80,13,100,19,19,80,1|2|14|12,body|head|wing,4102|2;2404|5;2407|5;801|0.12,16,1
1803,Frost Wyrm,80,15,100,18,18,80,1|2|14|13,body|head|leg,4102|2;2404|5;2407|5;809|0.12,16,1
1804,Gryphon,55,13,100,13,6,85,1|21|16,body|head|fin,4102|2;2101|5,12,1
1900,Steppenwolf,30,7,100,12,1,80,1,body|head|leg,4102|2;2102|2,4,2
1901,Giant,60,11,100,10,3,60,8|16|19,body|head|leg,1100|5,10,1
1902,Thunderhawk,60,9,100,17,2,90,17|24,body|head|wing,4102|2;2101|5,12,1
1903,Tarantula,35,8,100,9,1,80,1|27,body|head|leg,2106|3;2109|2,5,1
1904,Savage,30,8,100,8,2,80,6|16|19,body|head|leg,103|0.25;504|0.19;604|0.16,0,2
1905,Savage Chieftain,40,9,100,9,2,80,6|16|19,body|head|leg,105|0.24;503|0.2;603|0.16,0,1
1906,Snow Man,30,5,100,6,2,60,24|19,body|head|leg,4109|10,0,1
1907,Snow Wolf,40,4,100,12,2,75,1,body|head|leg,4102|2;2102|2,4,2
1908,Ursu King,45,15,100,9,4,70,24|11,body|head|leg,505|0.17;605|0.13,0,1
1909,Stone Puppet,40,13,100,6,2,60,24|2|16|19,body||leg,1101|5;2300|0.26;2301|0.26,0,1
1910,Gryphon,55,13,100,13,6,85,1|21|16,body|head|fin,4102|2;2101|5,12,1
1911,Titan,75,3,100,10,4,70,29|11,body|head|leg,117|0.09;509|0.1;609|0.09,14,1
1912,Ursa Warrior,35,13,100,8,3,70,24,body|head|leg,505|0.16;605|0.13,0,1
2000,Ogre,47,4,100,7,3,65,24|16|19,body|head|leg,108|0.16,0,2
2001,Ogre Axe,55,5,100,7,3,65,24|16|19,body|head|leg,108|0.17,0,1
2002,Cyclop,70,11,100,10,3,60,8|16|19,body|eye|leg,108|0.18,10,1
2003,Dark Caster,80,12,100,5,15,60,12,body|head|leg,2100|5;2406|0.1;802|0.12,0,1
2004,Cursed Skull,50,13,100,8,2,100,6|16,body||leg,2100|5,0,1
2100,Dungeon Bat,35,14,100,11,1,90,17,body|head|wing,4102|2,0,1
2101,Soul Eater,45,13,100,13,1,90,1|26,back|eye|leg,2202|0.36,0,1
2102,Poison Spider,35,4,100,7,1,75,1|27,body|head|leg,2106|3;2109|2,5,1
2103,Widow Spider,50,2,100,8,1,85,1,body|head|leg,2106|3;2109|2,7,1
2104,Stone Puppet,50,13,100,6,2,60,24|2|16|19,body||leg,1101|5;2300|0.27;2301|0.27,0,1
2105,Evil Eye,60,7,100,5,8,100,22|30,body||,304|0.09,0,1
2106,Giant Worm,40,11,100,3,2,30,2,body|head|,4102|2,5,1
2107,Skaven,55,9,100,12,2,75,24|1|16,body|head|leg,107|0.21,0,1
2108,Felguard,40,14,100,9,2,80,31|10,body|head|leg,510|0.08;611|0.07,0,1
2109,Shadow Crow,50,12,100,13,9,85,1|26,body|head|wing,4102|2;2101|5;2202|0.37,0,1
2110,Enchantress,65,13,100,9,15,70,34|5,body|head|leg,811|0.11,0,1
2111,Fallen Knight,55,3,100,15,3,80,6,body|head|,114|0.12,0,1
2112,Chaos,70,1,100,15,5,100,31|4,body||,2409|0.1,0,1
2113,Bane,70,9,100,20,10,100,31,body||,510|0.09;611|0.08,0,1
2114,Pit Guard,50,12,100,8,2,80,31|6|16,body|head|leg,2405|2;2302|5,0,1
2115,Pit Lord,60,2,100,8,5,80,31|28|16,body|head|leg,2405|2;2302|5,0,1
2116,Azgalor,70,3,100,8,9,80,31|11,body|head|leg,120|0.08;804|0.11;2405|0.21,0,1
2117,Snake,30,1,100,8,3,80,1|34,body|head|tail,4102|3;2105|2,0,1
2118,Cave Bat,20,6,100,12,1,80,1,body|head|wing,4102|2;2101|5,0,1
2119,Kobold,30,7,100,10,2,70,8|16|19,body|head|leg,2200|5;2201|0.34;2300|0.25;2301|0.25,0,2
2120,Wizard Malum,60,9,100,5,13,65,12,body|head|leg,2408|0.13;2109|10;808|0.11,0,1
2200,Sea Turtle,5,3,100,4,1,85,1,back|head|leg,4102|2;2108|0.35,2,1
2201,Jerryfish,10,14,100,4,3,20,34,|body|leg,2105|2,0,1
2202,Kingcrab,15,11,100,10,1,95,7,back|eye|leg,4102|2,0,3
2203,Piranha,15,2,100,9,1,80,1,back|eye|leg,4102|2,0,1
2300,Sea Turtle,5,3,100,4,1,85,1,back|head|leg,4102|2;2108|0.35,2,1
2301,Jerryfish,10,14,100,4,3,20,34,|body|leg,2105|2,0,1
2302,Siren,30,14,100,6,1,90,1|34,body|head|tail,4102|2;2109|2,3,1
2303,King Octopus,60,6,100,10,7,85,34,body|head|leg,3109|1;2105|10;4102|10;807|0.11,0,1
2400,Murloc,20,6,100,6,2,75,1|34,body|head|fin,2105|2;105|0.22,0,1
2401,Mermaid,30,12,100,7,2,70,28,body|head|tail,2105|2,6,1
2402,Shark,40,8,100,12,2,80,1|2,body|head|fin,4102|5;2303|2,0,1
2403,Centaur,90,1,100,11,16,80,22,body|head|leg,4102|5;202|0.23,0,1
2404,Medusa,80,9,100,10,10,80,22|30|18,body|head|tail,204|0.17;608|0.11;508|0.14,0,1
2405,Mouse,2,2,100,10,2,70,1,body|head|leg,4102|2,0,1
10000,A Dying Tramp,4,1,100,3,2,70,16|19,body|head|leg,500|0.26;600|0.19,0,1
10001,The Alcalde,25,3,100,7,2,70,6|16|19,body|head|leg,500|0.33;600|0.24,0,1
10002,The Bar Keeper,7,2,100,9,2,70,28|16,body|head|leg,500|0.28;600|0.2,0,1
10003,Farmer,6,3,100,6,2,70,16|19,body|head|leg,500|0.27;600|0.2,0,1
10004,Guard,10,3,100,7,2,70,6|16|19,body|head|leg,106|0.18;503|0.16;603|0.13,0,1
10005,Guard Leader,15,10,100,8,2,70,6|16|19,body|head|leg,106|0.19;503|0.17;603|0.14,0,1
10006,The Patriarch,25,2,100,9,2,70,6|16|19,body|head|leg,106|1,0,1
10007,Elder,20,1,100,8,2,70,6|16|19,body|head|leg,106|1,0,1
10009,Begrace Guard,10,3,100,7,2,75,6|16|19,body|head|leg,3104|1;503|0.16;603|0.13,0,1
10010,Begrace Guard Leader,15,10,100,8,2,80,6|16|19,body|head|leg,3104|1;503|0.17;603|0.14,0,1
10011,The Patriarch,25,2,100,9,2,70,6|16|19,body|head|leg,106|1,0,1
10012,Elder,20,1,100,8,2,70,6|16|19,body|head|leg,106|1,0,1
10014,Banshee Guard,10,1,100,7,2,75,6|16|19,body|head|leg,3105|1;503|0.16;603|0.13,0,1
10015,Banshee Guard Leader,15,4,100,8,2,80,6|16|19,body|head|leg,3105|1;503|0.17;603|0.14,0,1
10016,The Patriarch,25,2,100,9,2,70,6|16|19,body|head|leg,106|1,0,1
10017,Elder,20,1,100,8,2,70,6|16|19,body|head|leg,106|1,0,1
10019,Baltiless Guard,10,2,100,8,2,75,6|16|19,body|head|leg,3106|1;503|0.16;603|0.13,0,1
10020,Baltiless Guard Leader,15,8,100,10,2,80,6|16|19,body|head|leg,3106|1;503|0.17;603|0.14,0,1
10021,Gem Dealer,55,14,100,10,2,70,28|16,body|head|leg,118|0.08;2402|10;2401|10;2400|10,0,1
10022,Guard,48,3,100,7,2,70,6|16|19,body|head|leg,106|0.24;503|0.21;603|0.17,0,1
10023,Guard Leader,55,10,100,8,2,70,6|16|19,body|head|leg,106|0.24;503|0.21;603|0.17,0,1
