id,type,name,desc,price,property,req,needBlueprint,makingType,timeCost,castHp,Tags,skillId
2106,0,Gossamer,,10,,,0,none,0,0,Material,0
2107,0,Sting,,10,,,0,none,0,0,Material,0
2108,0,Carapace,,10,,,0,none,0,0,Material,0
2109,0,Poison,,10,,,0,none,0,0,Material,0
2200,0,Iron,,30,,,0,none,0,0,Material,0
2201,0,Copper,,30,,,0,none,0,0,Material,0
2202,0,Soul Stone,,30,,,0,none,0,0,Material,0
2300,0,Tungsten,,100,,,0,none,0,0,Material,0
2301,0,Platinum,,100,,,0,none,0,0,Material,0
2302,0,Shadow Stone,,100,,,0,none,0,0,Material,0
2303,0,Shark Fin,,300,,,0,none,0,0,Material,0
2400,0,Crystal,,400,,,0,none,0,0,Material,0
2401,0,Mithril,,400,,,0,none,0,0,Material,0
2402,0,Orichalcum,,400,,,0,none,0,0,Material,0
2403,0,Phoenix Feather,,400,,,0,none,0,0,Material,0
2404,0,Dragon Bone,,400,,,0,none,0,0,Material,0
2405,0,Aerolith,,400,,,0,none,0,0,Material,0
2406,0,Spirit Devourer,,10000,,,0,none,0,0,Material,0
2407,0,Dragon Skin,,400,,,0,none,0,0,Material,0
2408,0,Magic Apple,,2500,,,0,none,0,0,Material,0
2409,0,Chaos Essence,,10000,,,0,none,0,0,Material,0
3100,0,Gold,,100,,,0,none,0,0,Money,0
3102,0,Manure,,10,,,0,none,0,0,Material,0
3103,0,Parts,,10,,,0,none,0,0,Material,0
3104,0,WolfTag,,10,,,0,none,0,0,Material,0
3105,0,SnakeTag,,10,,,0,none,0,0,Material,0
3106,0,BearTag,,10,,,0,none,0,0,Material,0
3107,0,Bandit Head,,10,,,0,none,0,0,Material,0
3108,0,Bandit Flag,,10,,,0,none,0,0,Material,0
3109,0,Beating Heart,,10,,,0,none,0,0,Material,0
3110,0,Portal Key Lv.10,,10,,,0,none,0,0,Material,0
3111,0,Portal Key Lv.20,,10,,,0,none,0,0,Material,0
3201,0,Portal Key Lv.30,,30,,,0,none,0,0,Material,0
3202,0,Portal Key Lv.40,,30,,,0,none,0,0,Material,0
3300,0,Soul Box,,100,,,0,none,0,0,Material,0
3301,0,Diamond,,100,,,0,none,0,0,Material,0
3302,0,Training Manual,,100,,,0,none,0,0,Material,0
3303,0,MoonStone,,100,,,0,none,0,0,Material,0
3304,0,Archery Essence,,100,,,0,none,0,0,Material,0
3305,0,Advanced Witchcraft,,100,,,0,none,0,0,Material,0
3306,0,WolfHead,,300,,,0,none,0,0,Material,0
3307,0,SnakeHead,,300,,,0,none,0,0,Material,0
3308,0,BearHead,,300,,,0,none,0,0,Material,0
3309,0,Portal Key Lv.50,,100,,,0,none,0,0,Material,0
3310,0,Portal Key Lv.60,,100,,,0,none,0,0,Material,0
3401,0,Space Stone,,400,,,0,none,0,0,Material,0
3402,0,Gem,,400,,,0,none,0,0,Material,0
3403,0,Portal Key Lv.50,,400,0,,0,none,0,0,Material,0
3404,0,Portal Key Lv.60,,400,0,,0,none,0,0,Material,0
4100,2,Water,,50,6|5,,0,none,0,0,Drinks,0
4101,2,Wheat,,10,4|1,,0,none,0,0,Food,0
4102,2,Meat,,50,4|5;2|-3,,0,none,0,0,Food,0
4103,2,Potherb,,20,4|2,,0,none,0,0,Food,0
4104,2,Berry,,20,4|1;6|1,,0,none,0,0,Food,0
4105,2,Fish,,50,4|5;2|-3,,0,none,0,0,Food,0
4106,2,Seaweed,,20,4|1;8|1,,0,none,0,0,Food,0
4107,2,Sea Fish,,50,4|5;2|-3,,0,none,0,0,Food,0
4108,2,Salt,,20,8|2;6|-1;2|1,,0,none,0,0,Food,0
4109,2,Ice,,30,2|-2;10|-5,,0,none,0,0,Food,0
4110,2,Flower,,30,4|1;2|2,,0,none,0,0,Food,0
4111,2,Honey,,350,4|5;0|10;2|20,,0,none,0,0,Food,0
4112,2,Sea Tonic,,350,4|5;0|30,,0,none,0,0,Food,0
4200,2,Bread,,100,4|10,2;4101|5;4100|1,0,Kitchen,1,0,Food,0
4201,2,Ice Water,,100,6|5;10|-5,3;4100|3;4109|1,0,Kitchen,1,0,Drinks,0
4202,2,Hot Water,,100,6|5;10|5,5;4100|5;4214|2,0,Kitchen,1,0,Drinks,0
4203,2,Flower Tea,,130,6|8;2|5,1;4110|1;4100|1,0,Kitchen,1,0,Drinks,0
4204,2,Roasted Meat,,120,4|12,3;4102|3;4214|1,0,Kitchen,1,0,Food,0
4205,2,Roasted Fish,,120,4|10;0|2,3;4105|3;4214|1,0,Kitchen,1,0,Food,0
4206,2,Roasted Sea Fish,,120,4|10;8|2,3;4107|3;4214|1,0,Kitchen,1,0,Food,0
4207,2,Fruit Juice,,120,4|2;6|7;2|3,2;4104|5;4100|1,0,Kitchen,1,0,Drinks,0
4208,2,Whiskey,,120,6|2;2|5;10|5,,0,none,0,0,Drinks|Wine,0
4209,2,Wine,,120,6|4;2|8,,0,none,0,0,Drinks|Wine,0
4210,2,Beer,,140,6|4;2|10,,0,none,0,0,Drinks|Wine,0
4211,2,Tonic Soup,,250,0|15;6|10,6;4112|3;4100|1,0,Kitchen,2,0,Food,0
4212,2,Saline Water,,120,8|5;6|3;2|4,3;4108|2;4100|3,0,Kitchen,1,0,Drinks,0
4213,2,Sushi,,150,4|10;8|5,5;4106|5;4107|3;4101|5,0,Kitchen,2,0,Food,0
4214,2,Torch,,60,2|1;10|5,1;1100|1;2102|1,0,Kitchen,1,0,Torch,0
4215,2,Potherb Soup,,90,4|5;6|4,2;4103|3;4100|1,0,Kitchen,1,0,Food,0
4300,2,Cocktail,,300,6|3;2|24;10|3,2;4208|3;4207|1,0,Kitchen,1,0,Drinks|Wine,0
4301,2,Whiskey On The Rocks,,190,6|6;2|8;10|-5,2;4208|2;4109|1,0,Kitchen,1,0,Drinks|Wine,0
4302,2,Ice Tea,,190,6|8;2|6;10|-5,3;4203|3;4109|2,0,Kitchen,1,0,Drinks,0
4303,2,Hot Tea,,190,6|8;2|6;10|5,3;4203|3;4214|2,0,Kitchen,1,0,Drinks,0
4304,2,Honey Bread,,300,4|10;0|10;2|10,5;4111|2;4200|5,0,Kitchen,1,0,Food,0
4305,2,Hamburger,,300,4|30,3;4200|2;4204|4;4103|1,0,Kitchen,1,0,Food,0
